GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0100000US,,United States,0100000US,,United States,United States,308745538,308758105,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
0100000US,,United States,01000C0US,,United States - In metropolitan statistical area,In metropolitan statistical area,262512712,262525657,263093682,265426994,267838295,270139257,272573557,275038310,277418733,279698020
0100000US,,United States,310M300US10180,10180,"United States - In metropolitan statistical area - Abilene, TX Metro Area","Abilene, TX Metro Area",165252,165248,165583,166633,167452,167426,168143,169478,169733,170219
0100000US,,United States,310M300US10420,10420,"United States - In metropolitan statistical area - Akron, OH Metro Area","Akron, OH Metro Area",703200,703203,703037,703152,702066,703085,704311,703530,702556,703505
0100000US,,United States,310M300US10500,10500,"United States - In metropolitan statistical area - Albany, GA Metro Area","Albany, GA Metro Area",157308,157500,157596,157875,157369,156025,155293,153686,152440,151434
0100000US,,United States,310M300US10540,10540,"United States - In metropolitan statistical area - Albany, OR Metro Area","Albany, OR Metro Area",116672,116672,116878,118112,118242,118388,119025,120210,122700,125047
0100000US,,United States,310M300US10580,10580,"United States - In metropolitan statistical area - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",870716,870720,871159,873206,875586,878628,880140,881551,882801,886188
0100000US,,United States,310M300US10740,10740,"United States - In metropolitan statistical area - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",887077,887061,889570,896838,900368,902083,902069,903489,906877,910726
0100000US,,United States,310M300US10780,10780,"United States - In metropolitan statistical area - Alexandria, LA Metro Area","Alexandria, LA Metro Area",153922,153922,154107,154374,154436,154639,154633,154272,154394,153984
0100000US,,United States,310M300US10900,10900,"United States - In metropolitan statistical area - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821272,821963,824980,826634,826533,829625,832011,835233,840550
0100000US,,United States,310M300US11020,11020,"United States - In metropolitan statistical area - Altoona, PA Metro Area","Altoona, PA Metro Area",127089,127076,127030,126989,126593,125977,125502,124818,123927,123457
0100000US,,United States,310M300US11100,11100,"United States - In metropolitan statistical area - Amarillo, TX Metro Area","Amarillo, TX Metro Area",251933,251933,252674,255992,257777,258847,260662,261508,263036,264925
0100000US,,United States,310M300US11180,11180,"United States - In metropolitan statistical area - Ames, IA Metro Area","Ames, IA Metro Area",89542,89542,89627,90797,91730,93462,95310,96348,96816,97502
0100000US,,United States,310M300US11260,11260,"United States - In metropolitan statistical area - Anchorage, AK Metro Area","Anchorage, AK Metro Area",380821,380821,383108,388012,392201,396934,398400,399082,401499,400888
0100000US,,United States,310M300US11460,11460,"United States - In metropolitan statistical area - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",344791,345066,345515,349102,351333,354714,358635,361815,364752,367627
0100000US,,United States,310M300US11500,11500,"United States - In metropolitan statistical area - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118466,117785,117219,116482,115941,115505,114980,114728
0100000US,,United States,310M300US11540,11540,"United States - In metropolitan statistical area - Appleton, WI Metro Area","Appleton, WI Metro Area",225666,225666,225940,227552,228676,229973,231595,233131,234302,236126
0100000US,,United States,310M300US11700,11700,"United States - In metropolitan statistical area - Asheville, NC Metro Area","Asheville, NC Metro Area",424858,424856,425340,428230,431145,436077,440039,444952,450914,456145
0100000US,,United States,310M300US12020,12020,"United States - In metropolitan statistical area - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",192541,192564,193446,194508,196169,197731,198650,202824,205421,209271
0100000US,,United States,310M300US12060,12060,"United States - In metropolitan statistical area - Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286743,5303327,5373016,5451561,5517034,5605117,5702331,5795723,5884736
0100000US,,United States,310M300US12100,12100,"United States - In metropolitan statistical area - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",274549,274540,274761,275107,275732,275954,274842,273088,270830,269918
0100000US,,United States,310M300US12220,12220,"United States - In metropolitan statistical area - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",140247,140296,140806,144117,148318,151445,154211,156740,158983,161604
0100000US,,United States,310M300US12260,12260,"United States - In metropolitan statistical area - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",564873,564873,566492,570777,576149,579670,583198,589688,594889,600151
0100000US,,United States,310M300US12420,12420,"United States - In metropolitan statistical area - Austin-Round Rock, TX Metro Area","Austin-Round Rock, TX Metro Area",1716289,1716320,1727495,1780610,1834566,1883528,1942255,2000784,2060558,2115827
0100000US,,United States,310M300US12540,12540,"United States - In metropolitan statistical area - Bakersfield, CA Metro Area","Bakersfield, CA Metro Area",839631,839621,841116,848767,855237,864014,871895,879607,885086,893119
0100000US,,United States,310M300US12580,12580,"United States - In metropolitan statistical area - Baltimore-Columbia-Towson, MD Metro Area","Baltimore-Columbia-Towson, MD Metro Area",2710489,2710603,2715503,2734969,2756285,2771586,2784424,2795036,2801028,2808175
0100000US,,United States,310M300US12620,12620,"United States - In metropolitan statistical area - Bangor, ME Metro Area","Bangor, ME Metro Area",153923,153920,153841,153713,153372,153075,152941,151934,151515,151957
0100000US,,United States,310M300US12700,12700,"United States - In metropolitan statistical area - Barnstable Town, MA Metro Area","Barnstable Town, MA Metro Area",215888,215868,215877,215340,214787,214566,214279,213773,213440,213444
0100000US,,United States,310M300US12940,12940,"United States - In metropolitan statistical area - Baton Rouge, LA Metro Area","Baton Rouge, LA Metro Area",802484,802500,804359,808105,813476,819304,824923,829719,835596,834159
0100000US,,United States,310M300US12980,12980,"United States - In metropolitan statistical area - Battle Creek, MI Metro Area","Battle Creek, MI Metro Area",136146,136148,135941,135039,134605,134572,134602,134154,134178,134128
0100000US,,United States,310M300US13020,13020,"United States - In metropolitan statistical area - Bay City, MI Metro Area","Bay City, MI Metro Area",107771,107771,107676,107382,106930,106761,106025,105244,104481,104239
0100000US,,United States,310M300US13140,13140,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX Metro Area","Beaumont-Port Arthur, TX Metro Area",403190,403194,403697,405356,403895,405471,405754,408744,410909,412437
0100000US,,United States,310M300US13220,13220,"United States - In metropolitan statistical area - Beckley, WV Metro Area","Beckley, WV Metro Area",124898,124913,124959,125183,125014,124277,123291,122022,120361,118543
0100000US,,United States,310M300US13380,13380,"United States - In metropolitan statistical area - Bellingham, WA Metro Area","Bellingham, WA Metro Area",201140,201145,201520,203447,204878,206189,208112,211713,216274,221404
0100000US,,United States,310M300US13460,13460,"United States - In metropolitan statistical area - Bend-Redmond, OR Metro Area","Bend-Redmond, OR Metro Area",157733,157733,157740,159605,161343,165270,169497,174288,180675,186875
0100000US,,United States,310M300US13740,13740,"United States - In metropolitan statistical area - Billings, MT Metro Area","Billings, MT Metro Area",158934,158934,159297,160622,162568,164783,166360,167531,168961,170498
0100000US,,United States,310M300US13780,13780,"United States - In metropolitan statistical area - Binghamton, NY Metro Area","Binghamton, NY Metro Area",251725,251737,251519,250321,249064,248323,247469,245615,243608,242217
0100000US,,United States,310M300US13820,13820,"United States - In metropolitan statistical area - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",1128047,1128056,1128791,1130457,1133409,1138173,1141099,1144518,1146888,1149807
0100000US,,United States,310M300US13900,13900,"United States - In metropolitan statistical area - Bismarck, ND Metro Area","Bismarck, ND Metro Area",114778,114778,115253,117318,120233,123885,126704,129583,131397,132142
0100000US,,United States,310M300US13980,13980,"United States - In metropolitan statistical area - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178253,178530,178949,179572,180862,181357,181464,182635,182993
0100000US,,United States,310M300US14010,14010,"United States - In metropolitan statistical area - Bloomington, IL Metro Area","Bloomington, IL Metro Area",186133,186133,186398,187325,189016,191110,189944,188905,188847,188232
0100000US,,United States,310M300US14020,14020,"United States - In metropolitan statistical area - Bloomington, IN Metro Area","Bloomington, IN Metro Area",159549,159541,160086,161603,162653,163039,164434,165056,166614,167825
0100000US,,United States,310M300US14100,14100,"United States - In metropolitan statistical area - Bloomsburg-Berwick, PA Metro Area","Bloomsburg-Berwick, PA Metro Area",85562,85563,85655,85415,85458,85563,85484,84950,84382,84204
0100000US,,United States,310M300US14260,14260,"United States - In metropolitan statistical area - Boise City, ID Metro Area","Boise City, ID Metro Area",616561,616568,617980,627349,637354,649140,662625,674310,690810,709845
0100000US,,United States,310M300US14460,14460,"United States - In metropolitan statistical area - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552596,4565220,4608303,4653023,4699912,4741544,4775755,4805942,4836531
0100000US,,United States,310M300US14500,14500,"United States - In metropolitan statistical area - Boulder, CO Metro Area","Boulder, CO Metro Area",294567,294572,295930,300518,305028,309749,312505,317968,321173,322514
0100000US,,United States,310M300US14540,14540,"United States - In metropolitan statistical area - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",158599,158599,159309,160913,162296,164246,166221,169108,171839,174835
0100000US,,United States,310M300US14740,14740,"United States - In metropolitan statistical area - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",251133,251137,251658,254250,254306,252434,253381,259175,263109,266414
0100000US,,United States,310M300US14860,14860,"United States - In metropolitan statistical area - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916846,919749,929398,936345,942865,946547,948116,949191,949921
0100000US,,United States,310M300US15180,15180,"United States - In metropolitan statistical area - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",406220,406219,407590,412917,415370,417095,418838,419579,421766,423725
0100000US,,United States,310M300US15260,15260,"United States - In metropolitan statistical area - Brunswick, GA Metro Area","Brunswick, GA Metro Area",112370,112368,112530,112945,113361,113860,114735,116020,116955,118119
0100000US,,United States,310M300US15380,15380,"United States - In metropolitan statistical area - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135617,1135710,1136059,1135717,1136993,1137924,1136662,1134914,1136856
0100000US,,United States,310M300US15500,15500,"United States - In metropolitan statistical area - Burlington, NC Metro Area","Burlington, NC Metro Area",151131,151198,151490,152857,153471,154417,155698,157389,159325,162391
0100000US,,United States,310M300US15540,15540,"United States - In metropolitan statistical area - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",211261,211262,211514,212774,213744,214940,216182,216812,217429,218395
0100000US,,United States,310M300US15680,15680,"United States - In metropolitan statistical area - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",105151,105148,105764,107585,108831,109275,110016,111100,111835,112667
0100000US,,United States,310M300US15940,15940,"United States - In metropolitan statistical area - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",404422,404428,404214,403291,403403,403281,403680,402435,401165,399927
0100000US,,United States,310M300US15980,15980,"United States - In metropolitan statistical area - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",618754,618754,620467,631077,644580,660431,678241,700421,722506,739224
0100000US,,United States,310M300US16020,16020,"United States - In metropolitan statistical area - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96275,96275,96448,96937,97193,97187,97396,97231,97085,96782
0100000US,,United States,310M300US16060,16060,"United States - In metropolitan statistical area - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126575,126580,126813,127041,125752,127067,126712,126896,126672,125612
0100000US,,United States,310M300US16180,16180,"United States - In metropolitan statistical area - Carson City, NV Metro Area","Carson City, NV Metro Area",55274,55274,54988,54703,54362,53791,54155,54123,54283,54745
0100000US,,United States,310M300US16220,16220,"United States - In metropolitan statistical area - Casper, WY Metro Area","Casper, WY Metro Area",75450,75450,75456,76421,78583,81101,81439,82134,80892,79547
0100000US,,United States,310M300US16300,16300,"United States - In metropolitan statistical area - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",257940,257941,258395,260796,261740,262449,263963,265984,267925,270293
0100000US,,United States,310M300US16540,16540,"United States - In metropolitan statistical area - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",149618,149618,149930,150952,151477,151855,152459,152903,153564,154234
0100000US,,United States,310M300US16580,16580,"United States - In metropolitan statistical area - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",231891,231889,232333,233391,234478,235731,237028,238228,239135,239124
0100000US,,United States,310M300US16620,16620,"United States - In metropolitan statistical area - Charleston, WV Metro Area","Charleston, WV Metro Area",227078,227061,226901,225823,225696,224644,222802,220236,217735,214406
0100000US,,United States,310M300US16700,16700,"United States - In metropolitan statistical area - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",664607,664644,667466,681261,696993,711407,726770,745061,761904,775831
0100000US,,United States,310M300US16740,16740,"United States - In metropolitan statistical area - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2216992,2223196,2256180,2293822,2334036,2376148,2424115,2475519,2525305
0100000US,,United States,310M300US16820,16820,"United States - In metropolitan statistical area - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",218705,218707,219025,220947,222649,224057,226297,228818,231160,233793
0100000US,,United States,310M300US16860,16860,"United States - In metropolitan statistical area - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",528143,528152,529196,533540,538108,542036,544017,547232,551957,556548
0100000US,,United States,310M300US16940,16940,"United States - In metropolitan statistical area - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",91738,91881,92219,92587,94704,95731,96123,97005,97968,98327
0100000US,,United States,310M300US16980,16980,"United States - In metropolitan statistical area - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461541,9471312,9497177,9525765,9548402,9560874,9557503,9546326,9533040
0100000US,,United States,310M300US17020,17020,"United States - In metropolitan statistical area - Chico, CA Metro Area","Chico, CA Metro Area",220000,220002,219957,220003,220969,221768,223629,224818,226525,229294
0100000US,,United States,310M300US17140,17140,"United States - In metropolitan statistical area - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2114580,2114686,2117729,2122544,2128106,2136269,2146562,2155674,2166029,2179082
0100000US,,United States,310M300US17300,17300,"United States - In metropolitan statistical area - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",260625,260635,261619,264163,274004,272031,276442,279865,280843,285042
0100000US,,United States,310M300US17420,17420,"United States - In metropolitan statistical area - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115788,115758,115913,116583,117674,118383,119501,120565,121177,122317
0100000US,,United States,310M300US17460,17460,"United States - In metropolitan statistical area - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2077240,2077271,2075557,2068991,2064711,2065844,2066227,2062842,2060065,2058844
0100000US,,United States,310M300US17660,17660,"United States - In metropolitan statistical area - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138494,138464,138856,140881,142071,143887,146556,149414,153144,157637
0100000US,,United States,310M300US17780,17780,"United States - In metropolitan statistical area - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",228660,228668,229449,231451,234126,237820,242533,250138,254230,258044
0100000US,,United States,310M300US17820,17820,"United States - In metropolitan statistical area - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",645613,645615,650299,659959,668271,677296,685223,695830,710746,723878
0100000US,,United States,310M300US17860,17860,"United States - In metropolitan statistical area - Columbia, MO Metro Area","Columbia, MO Metro Area",162642,162643,163168,166019,168674,170937,172787,174395,176555,178271
0100000US,,United States,310M300US17900,17900,"United States - In metropolitan statistical area - Columbia, SC Metro Area","Columbia, SC Metro Area",767598,767476,769685,776454,783462,791164,799106,809147,817443,825033
0100000US,,United States,310M300US17980,17980,"United States - In metropolitan statistical area - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",294865,295531,296507,302453,310072,315784,313038,310545,306712,303811
0100000US,,United States,310M300US18020,18020,"United States - In metropolitan statistical area - Columbus, IN Metro Area","Columbus, IN Metro Area",76794,76786,76809,77579,78914,79572,80350,81286,81873,82040
0100000US,,United States,310M300US18140,18140,"United States - In metropolitan statistical area - Columbus, OH Metro Area","Columbus, OH Metro Area",1901974,1902001,1906365,1926142,1946644,1971120,1998460,2023198,2046977,2078725
0100000US,,United States,310M300US18580,18580,"United States - In metropolitan statistical area - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",428185,428188,427872,430908,436575,442812,447671,452355,454066,454008
0100000US,,United States,310M300US18700,18700,"United States - In metropolitan statistical area - Corvallis, OR Metro Area","Corvallis, OR Metro Area",85579,85592,85561,85976,86368,85934,86956,88106,89296,90951
0100000US,,United States,310M300US18880,18880,"United States - In metropolitan statistical area - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,235927,238668,246972,251914,255831,260796,265355,271346
0100000US,,United States,310M300US19060,19060,"United States - In metropolitan statistical area - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",103299,103261,103161,102615,101821,101268,100576,99864,99516,98837
0100000US,,United States,310M300US19100,19100,"United States - In metropolitan statistical area - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426231,6451833,6571537,6706020,6817243,6950715,7101031,7253424,7399662
0100000US,,United States,310M300US19140,19140,"United States - In metropolitan statistical area - Dalton, GA Metro Area","Dalton, GA Metro Area",142227,142227,142315,142466,142528,142233,142767,143523,144074,144440
0100000US,,United States,310M300US19180,19180,"United States - In metropolitan statistical area - Danville, IL Metro Area","Danville, IL Metro Area",81625,81625,81639,81399,80823,80578,79800,79187,78560,77909
0100000US,,United States,310M300US19300,19300,"United States - In metropolitan statistical area - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183110,186534,190048,194736,199064,202863,207509,212628
0100000US,,United States,310M300US19340,19340,"United States - In metropolitan statistical area - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,379741,380509,382269,383597,383814,383365,382671,382263
0100000US,,United States,310M300US19380,19380,"United States - In metropolitan statistical area - Dayton, OH Metro Area","Dayton, OH Metro Area",799232,799251,799639,800690,801382,800609,800264,799293,800886,803416
0100000US,,United States,310M300US19460,19460,"United States - In metropolitan statistical area - Decatur, AL Metro Area","Decatur, AL Metro Area",153829,153825,153949,154054,153880,153114,152856,152336,152051,151867
0100000US,,United States,310M300US19500,19500,"United States - In metropolitan statistical area - Decatur, IL Metro Area","Decatur, IL Metro Area",110768,110768,110777,110649,110105,109533,108529,107419,106651,105801
0100000US,,United States,310M300US19660,19660,"United States - In metropolitan statistical area - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590294,590515,591964,595246,600681,609394,622251,636843,649202
0100000US,,United States,310M300US19740,19740,"United States - In metropolitan statistical area - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",2543482,2543592,2554399,2599629,2646151,2696308,2749827,2807211,2851848,2888227
0100000US,,United States,310M300US19780,19780,"United States - In metropolitan statistical area - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",569633,569633,571967,580961,589758,600366,611977,622566,634740,645911
0100000US,,United States,310M300US19820,19820,"United States - In metropolitan statistical area - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4296250,4296317,4291287,4288618,4295646,4298541,4303366,4302282,4305869,4313002
0100000US,,United States,310M300US20020,20020,"United States - In metropolitan statistical area - Dothan, AL Metro Area","Dothan, AL Metro Area",145639,145643,145870,146604,147447,147439,147826,147990,147781,147914
0100000US,,United States,310M300US20100,20100,"United States - In metropolitan statistical area - Dover, DE Metro Area","Dover, DE Metro Area",162310,162349,162973,165149,167442,169150,171664,173332,174754,176824
0100000US,,United States,310M300US20220,20220,"United States - In metropolitan statistical area - Dubuque, IA Metro Area","Dubuque, IA Metro Area",93653,93653,93930,94599,95128,95888,96408,96813,96704,97041
0100000US,,United States,310M300US20260,20260,"United States - In metropolitan statistical area - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",279771,279771,279677,279753,279339,279439,279651,279197,278954,278782
0100000US,,United States,310M300US20500,20500,"United States - In metropolitan statistical area - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",504357,506623,508532,515514,524708,532944,541769,550346,558920,567428
0100000US,,United States,310M300US20700,20700,"United States - In metropolitan statistical area - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",169842,169838,169876,169961,168775,167588,167547,166835,166516,168046
0100000US,,United States,310M300US20740,20740,"United States - In metropolitan statistical area - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",161151,161390,161658,162881,163889,164795,164981,165455,166452,167484
0100000US,,United States,310M300US20940,20940,"United States - In metropolitan statistical area - El Centro, CA Metro Area","El Centro, CA Metro Area",174528,174528,174778,176157,177241,177267,178868,179839,180980,182830
0100000US,,United States,310M300US21060,21060,"United States - In metropolitan statistical area - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",148338,148351,149853,151319,151500,152155,151646,148095,148940,150430
0100000US,,United States,310M300US21140,21140,"United States - In metropolitan statistical area - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",197559,197561,197452,198383,199084,200366,201673,203401,204146,205032
0100000US,,United States,310M300US21300,21300,"United States - In metropolitan statistical area - Elmira, NY Metro Area","Elmira, NY Metro Area",88830,88841,88985,88983,89197,88374,87414,87030,86040,85557
0100000US,,United States,310M300US21340,21340,"United States - In metropolitan statistical area - El Paso, TX Metro Area","El Paso, TX Metro Area",804123,804123,806983,822747,834478,833522,836753,836326,841220,844818
0100000US,,United States,310M300US21420,21420,"United States - In metropolitan statistical area - Enid, OK Metro Area","Enid, OK Metro Area",60580,60580,60736,60664,61270,62272,62704,63163,62384,61581
0100000US,,United States,310M300US21500,21500,"United States - In metropolitan statistical area - Erie, PA Metro Area","Erie, PA Metro Area",280566,280564,280775,281288,281503,280647,279351,278111,276321,274541
0100000US,,United States,310M300US21660,21660,"United States - In metropolitan statistical area - Eugene, OR Metro Area","Eugene, OR Metro Area",351715,351713,351880,353419,354486,355041,357564,361721,368283,374748
0100000US,,United States,310M300US21780,21780,"United States - In metropolitan statistical area - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",311552,311554,311787,312631,313452,314454,315055,315439,315700,315669
0100000US,,United States,310M300US21820,21820,"United States - In metropolitan statistical area - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",97581,97585,98276,98136,100354,100898,99308,99643,100602,99703
0100000US,,United States,310M300US22020,22020,"United States - In metropolitan statistical area - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",208777,208777,209350,212706,216972,223477,227998,232987,237483,241356
0100000US,,United States,310M300US22140,22140,"United States - In metropolitan statistical area - Farmington, NM Metro Area","Farmington, NM Metro Area",130044,130045,130205,129649,129677,129324,128958,128125,127772,126926
0100000US,,United States,310M300US22180,22180,"United States - In metropolitan statistical area - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",366383,366322,374710,380366,380740,384464,384360,384554,386646,386662
0100000US,,United States,310M300US22220,22220,"United States - In metropolitan statistical area - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463210,465290,475098,484093,492739,502187,513262,525176,537463
0100000US,,United States,310M300US22380,22380,"United States - In metropolitan statistical area - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",134421,134435,134612,134181,136002,136448,137209,138682,140079,140776
0100000US,,United States,310M300US22420,22420,"United States - In metropolitan statistical area - Flint, MI Metro Area","Flint, MI Metro Area",425790,425788,424938,421901,418054,415489,412673,410249,408607,407385
0100000US,,United States,310M300US22500,22500,"United States - In metropolitan statistical area - Florence, SC Metro Area","Florence, SC Metro Area",205566,205571,205667,205822,206146,206066,206525,206307,205818,205831
0100000US,,United States,310M300US22520,22520,"United States - In metropolitan statistical area - Florence-Muscle Shoals, AL Metro Area","Florence-Muscle Shoals, AL Metro Area",147137,147137,147260,147137,147221,147216,147444,146780,146646,147038
0100000US,,United States,310M300US22540,22540,"United States - In metropolitan statistical area - Fond du Lac, WI Metro Area","Fond du Lac, WI Metro Area",101633,101630,101585,101841,101823,101783,101952,101916,102210,102548
0100000US,,United States,310M300US22660,22660,"United States - In metropolitan statistical area - Fort Collins, CO Metro Area","Fort Collins, CO Metro Area",299630,299628,300427,305027,310521,315859,323673,332840,338531,343976
0100000US,,United States,310M300US22900,22900,"United States - In metropolitan statistical area - Fort Smith, AR-OK Metro Area","Fort Smith, AR-OK Metro Area",280467,280538,280686,281216,281027,280156,279858,280393,281032,282086
0100000US,,United States,310M300US23060,23060,"United States - In metropolitan statistical area - Fort Wayne, IN Metro Area","Fort Wayne, IN Metro Area",416257,416254,416927,419867,421669,424155,426321,428909,431296,434617
